[LoggerStatus.SUCCESS] | Installed: clang | Sat Jul 13 10:23:09 2024
[LoggerStatus.SUCCESS] | Installed: gzip | Sat Jul 13 10:23:09 2024
[LoggerStatus.SUCCESS] | Installed: imagemagick | Sat Jul 13 10:23:11 2024
[LoggerStatus.SUCCESS] | Installed: make | Sat Jul 13 10:23:11 2024
[LoggerStatus.SUCCESS] | Installed: openssh | Sat Jul 13 10:23:12 2024
[LoggerStatus.SUCCESS] | Installed: pulseaudio-bluetooth | Sat Jul 13 10:23:12 2024
[LoggerStatus.SUCCESS] | Installed: shellcheck | Sat Jul 13 10:23:23 2024
[LoggerStatus.SUCCESS] | Installed: vlc | Sat Jul 13 10:23:30 2024
[LoggerStatus.SUCCESS] | Installed: usbutils | Sat Jul 13 10:23:30 2024
[LoggerStatus.SUCCESS] | Installed: picom | Sat Jul 13 10:23:32 2024
[LoggerStatus.SUCCESS] | Installed: networkmanager-openvpn | Sat Jul 13 10:23:33 2024
[LoggerStatus.SUCCESS] | Installed: alsa-plugins | Sat Jul 13 10:23:34 2024
[LoggerStatus.SUCCESS] | Installed: alsa-tools | Sat Jul 13 10:23:35 2024
[LoggerStatus.SUCCESS] | Installed: alsa-utils | Sat Jul 13 10:23:36 2024
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Sat Jul 13 10:23:37 2024
[LoggerStatus.SUCCESS] | Installed: p7zip | Sat Jul 13 10:23:38 2024
[LoggerStatus.SUCCESS] | Installed: gparted | Sat Jul 13 10:23:39 2024
[LoggerStatus.SUCCESS] | Installed: sshfs | Sat Jul 13 10:23:41 2024
[LoggerStatus.SUCCESS] | Installed: openvpn | Sat Jul 13 10:23:41 2024
[LoggerStatus.SUCCESS] | Installed: xclip | Sat Jul 13 10:23:42 2024
[LoggerStatus.SUCCESS] | Installed: gpick | Sat Jul 13 10:23:43 2024
[LoggerStatus.SUCCESS] | Installed: wget | Sat Jul 13 10:23:44 2024
[LoggerStatus.SUCCESS] | Installed: ueberzug | Sat Jul 13 10:23:46 2024
[LoggerStatus.SUCCESS] | Installed: netctl | Sat Jul 13 10:23:47 2024
[LoggerStatus.SUCCESS] | Installed: light | Sat Jul 13 10:23:47 2024
[LoggerStatus.SUCCESS] | Installed: libreoffice | Sat Jul 13 10:24:10 2024
[LoggerStatus.SUCCESS] | Installed: breeze | Sat Jul 13 10:24:31 2024
[LoggerStatus.SUCCESS] | Installed: vulkan-intel | Sat Jul 13 10:24:32 2024
[LoggerStatus.SUCCESS] | Installed: intel-ucode | Sat Jul 13 10:24:52 2024
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono | Sat Jul 13 10:24:53 2024
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Sat Jul 13 10:24:55 2024
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Sat Jul 13 10:24:56 2024
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Sat Jul 13 10:25:04 2024
[LoggerStatus.SUCCESS] | Installed: cava | Sat Jul 13 10:25:16 2024
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Sat Jul 13 10:25:31 2024
[LoggerStatus.SUCCESS] | Installed: ptpython | Sat Jul 13 10:25:43 2024
[LoggerStatus.SUCCESS] | Installed: yandex-browser | Sat Jul 13 10:26:56 2024
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Sat Jul 13 10:27:06 2024
[LoggerStatus.SUCCESS] | [+] Installed Dev Dependencies | Sat Jul 13 10:27:06 2024
[LoggerStatus.SUCCESS] | Installed: cheese | Sat Jul 13 10:27:15 2024
[LoggerStatus.SUCCESS] | Installed: timeshift | Sat Jul 13 10:27:18 2024
[LoggerStatus.SUCCESS] | Installed: pinta | Sat Jul 13 10:27:21 2024
[LoggerStatus.SUCCESS] | Installed: wireshark-qt | Sat Jul 13 10:27:24 2024
[LoggerStatus.SUCCESS] | Installed: ghex | Sat Jul 13 10:27:26 2024
[LoggerStatus.SUCCESS] | Installed: gufw | Sat Jul 13 10:27:31 2024
[LoggerStatus.SUCCESS] | Installed: python-pywal | Sat Jul 13 10:27:32 2024
[LoggerStatus.SUCCESS] | Installed: bleachbit | Sat Jul 13 10:27:33 2024
[LoggerStatus.SUCCESS] | Installed: gnome-firmware | Sat Jul 13 10:27:37 2024
[LoggerStatus.SUCCESS] | Installed: dconf-editor | Sat Jul 13 10:27:38 2024
[LoggerStatus.SUCCESS] | Installed: neovim | Sat Jul 13 10:27:42 2024
[LoggerStatus.SUCCESS] | Installed: telegram-desktop | Sat Jul 13 10:27:46 2024
[LoggerStatus.SUCCESS] | Installed: tmux | Sat Jul 13 10:27:47 2024
[LoggerStatus.SUCCESS] | Installed: deluge-gtk | Sat Jul 13 10:27:54 2024
[LoggerStatus.SUCCESS] | Installed: flameshot | Sat Jul 13 10:27:56 2024
[LoggerStatus.SUCCESS] | Installed: obsidian | Sat Jul 13 10:28:03 2024
